ダウンロードした時刻：2019/05/26 20:26:13

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),日平均気温25℃以上日数(日),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2000/1,11.2,8,1,0,8,1,66.5,0,8,1,51,8,1
2000/2,9.9,8,1,0,8,1,4.0,0,8,1,38,8,1
2000/3,13.5,8,1,0,8,1,85.5,0,8,1,44,8,1
2000/4,18.7,8,1,0,8,1,151.5,0,8,1,55,8,1
2000/5,24.0,8,1,1,8,1,109.0,0,8,1,68,8,1
2000/6,26.1,8,1,7,8,1,232.0,0,8,1,74,8,1
2000/7,31.6,8,1,27,8,1,373.5,0,8,1,70,8,1
2000/8,32.4,8,1,31,8,1,162.0,0,8,1,69,8,1
2000/9,28.9,8,1,20,8,1,164.0,0,8,1,69,8,1
2000/10,21.9,8,1,0,8,1,142.5,0,8,1,67,8,1
2000/11,16.7,8,1,0,8,1,106.0,0,8,1,63,8,1
2000/12,12.6,8,1,0,8,1,6.5,0,8,1,46,8,1
2001/1,8.6,8,1,0,8,1,126.5,0,8,1,47,8,1
2001/2,10.7,8,1,0,8,1,23.0,0,8,1,48,8,1
2001/3,14.4,8,1,0,8,1,107.5,0,8,1,51,8,1
2001/4,20.4,8,1,0,8,1,40.5,0,8,1,56,8,1
2001/5,23.0,8,1,0,8,1,170.5,0,8,1,69,8,1
2001/6,26.6,8,1,8,8,1,144.5,0,8,1,70,8,1
2001/7,33.0,8,1,30,8,1,41.5,0,8,1,63,8,1
2001/8,30.0,8,1,23,8,1,136.5,0,8,1,71,8,1
2001/9,26.4,8,1,11,8,1,204.0,0,8,1,68,8,1
2001/10,22.5,8,1,0,8,1,343.0,0,8,1,62,8,1
2001/11,16.7,8,1,0,8,1,123.5,0,8,1,55,8,1
