,ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ïΩãœãCâ∑25Åéà»è„ì˙êî(ì˙),ç~êÖó ÇÃçáåv(mm),ïΩãœéºìx(Åì),yyyymm,340 ÇÊÇ§Ç©ÇÒÅyâ~Åz,341 Ç‹ÇÒÇ∂Ç„Ç§Åyâ~Åz,342 ëºÇÃòaê∂âŸéqÅyâ~Åz,343 ÉJÉXÉeÉâÅyâ~Åz,344 ÉPÅ[ÉLÅyâ~Åz,347 É[ÉäÅ[Åyâ~Åz,348 ÉvÉäÉìÅyâ~Åz,345 ëºÇÃómê∂âŸéqÅyâ~Åz,350 ÇπÇÒÇ◊Ç¢Åyâ~Åz,346 ÉrÉXÉPÉbÉgÅyâ~Åz,357 ÉXÉiÉbÉNâŸéqÅyâ~Åz,349 ÉLÉÉÉìÉfÅ[Åyâ~Åz,352 É`ÉáÉRÉåÅ[ÉgÅyâ~Åz,353 É`ÉáÉRÉåÅ[ÉgâŸéqÅyâ~Åz,356 ÉAÉCÉXÉNÉäÅ[ÉÄÅEÉVÉÉÅ[ÉxÉbÉgÅyâ~Åz,359 ëºÇÃâŸéqÅyâ~Åz,year,month,days,340 ÇÊÇ§Ç©ÇÒÅyâ~/ì˙Åz,341 Ç‹ÇÒÇ∂Ç„Ç§Åyâ~/ì˙Åz,342 ëºÇÃòaê∂âŸéqÅyâ~/ì˙Åz,343 ÉJÉXÉeÉâÅyâ~/ì˙Åz,344 ÉPÅ[ÉLÅyâ~/ì˙Åz,347 É[ÉäÅ[Åyâ~/ì˙Åz,348 ÉvÉäÉìÅyâ~/ì˙Åz,345 ëºÇÃómê∂âŸéqÅyâ~/ì˙Åz,350 ÇπÇÒÇ◊Ç¢Åyâ~/ì˙Åz,346 ÉrÉXÉPÉbÉgÅyâ~/ì˙Åz,357 ÉXÉiÉbÉNâŸéqÅyâ~/ì˙Åz,349 ÉLÉÉÉìÉfÅ[Åyâ~/ì˙Åz,352 É`ÉáÉRÉåÅ[ÉgÅyâ~/ì˙Åz,353 É`ÉáÉRÉåÅ[ÉgâŸéqÅyâ~/ì˙Åz,356 ÉAÉCÉXÉNÉäÅ[ÉÄÅEÉVÉÉÅ[ÉxÉbÉgÅyâ~/ì˙Åz,359 ëºÇÃâŸéqÅyâ~/ì˙Åz
12,11.0,0,9.0,41,201001,55,164,752,82,610,56,125,584,449,229,320,205,456,102,362,1846,2010,1,31,1.7741935483870968,5.290322580645161,24.258064516129032,2.6451612903225805,19.677419354838708,1.8064516129032258,4.032258064516129,18.838709677419356,14.483870967741936,7.387096774193548,10.32258064516129,6.612903225806452,14.709677419354838,3.2903225806451615,11.67741935483871,59.54838709677419
14,13.2,0,143.5,61,201003,35,154,1010,86,657,98,138,646,509,396,364,214,409,111,383,1979,2010,3,31,1.1290322580645162,4.967741935483871,32.58064516129032,2.774193548387097,21.193548387096776,3.161290322580645,4.451612903225806,20.838709677419356,16.419354838709676,12.774193548387096,11.741935483870968,6.903225806451613,13.193548387096774,3.5806451612903225,12.35483870967742,63.83870967741935
15,16.6,0,214.0,62,201004,37,139,828,81,522,127,132,556,466,261,358,199,287,101,464,1641,2010,4,30,1.2333333333333334,4.633333333333334,27.6,2.7,17.4,4.233333333333333,4.4,18.533333333333335,15.533333333333333,8.7,11.933333333333334,6.633333333333334,9.566666666666666,3.3666666666666667,15.466666666666667,54.7
16,23.0,0,114.0,60,201005,63,164,949,90,551,182,139,588,446,271,360,195,233,83,752,1662,2010,5,31,2.032258064516129,5.290322580645161,30.612903225806452,2.903225806451613,17.774193548387096,5.870967741935484,4.483870967741935,18.967741935483872,14.387096774193548,8.741935483870968,11.612903225806452,6.290322580645161,7.516129032258065,2.6774193548387095,24.258064516129032,53.61290322580645
17,27.5,13,108.0,67,201006,64,120,641,65,439,267,137,469,388,257,325,165,220,70,841,1451,2010,6,30,2.1333333333333333,4.0,21.366666666666667,2.1666666666666665,14.633333333333333,8.9,4.566666666666666,15.633333333333333,12.933333333333334,8.566666666666666,10.833333333333334,5.5,7.333333333333333,2.3333333333333335,28.033333333333335,48.36666666666667
18,31.6,30,70.0,70,201007,107,110,638,64,415,368,128,502,401,259,316,163,149,70,1211,1510,2010,7,31,3.4516129032258065,3.5483870967741935,20.580645161290324,2.064516129032258,13.387096774193548,11.870967741935484,4.129032258064516,16.193548387096776,12.935483870967742,8.35483870967742,10.193548387096774,5.258064516129032,4.806451612903226,2.2580645161290325,39.064516129032256,48.70967741935484
19,33.5,31,27.0,67,201008,131,160,833,68,462,374,133,565,437,262,322,162,134,66,1451,1987,2010,8,31,4.225806451612903,5.161290322580645,26.870967741935484,2.193548387096774,14.903225806451612,12.064516129032258,4.290322580645161,18.225806451612904,14.096774193548388,8.451612903225806,10.387096774193548,5.225806451612903,4.32258064516129,2.129032258064516,46.806451612903224,64.09677419354838
20,29.0,18,428.0,68,201009,40,140,728,59,447,144,125,461,372,226,317,162,209,77,864,1435,2010,9,30,1.3333333333333333,4.666666666666667,24.266666666666666,1.9666666666666666,14.9,4.8,4.166666666666667,15.366666666666667,12.4,7.533333333333333,10.566666666666666,5.4,6.966666666666667,2.566666666666667,28.8,47.833333333333336
21,21.8,0,211.0,68,201010,42,133,698,63,508,106,134,555,388,251,337,197,319,112,504,1626,2010,10,31,1.3548387096774193,4.290322580645161,22.516129032258064,2.032258064516129,16.387096774193548,3.4193548387096775,4.32258064516129,17.903225806451612,12.516129032258064,8.096774193548388,10.870967741935484,6.354838709677419,10.290322580645162,3.6129032258064515,16.258064516129032,52.45161290322581
22,17.2,0,94.5,56,201011,49,155,681,77,566,78,117,570,407,256,326,218,353,116,351,1580,2010,11,30,1.6333333333333333,5.166666666666667,22.7,2.566666666666667,18.866666666666667,2.6,3.9,19.0,13.566666666666666,8.533333333333333,10.866666666666667,7.266666666666667,11.766666666666667,3.8666666666666667,11.7,52.666666666666664
